"species","Group","Treatment","quad","year","cover"
"Hesperostipa comata","P10E1","Control","Q23",2008,2.5435342
"Poa secunda","P10E1","Control","Q23",2008,5.2476180724955
"Pseudoroegneria spicata","P10E1","Control","Q23",2008,2.73613761
"Artemisia tripartita","P10E1","Control","Q24",2008,10.23577805
"Hesperostipa comata","P10E1","Control","Q24",2008,0.21146602
"Poa secunda","P10E1","Control","Q24",2008,0.75095435
"Pseudoroegneria spicata","P10E1","Control","Q24",2008,1.74358603
"Artemisia tripartita","P10E1","Control","Q25",2008,45.01071689
"Hesperostipa comata","P10E1","Control","Q25",2008,0
"Poa secunda","P10E1","Control","Q25",2008,0
"Pseudoroegneria spicata","P10E1","Control","Q25",2008,0.23703658
"Artemisia tripartita","P10E1","Control","Q26",2008,30.19197555
"Hesperostipa comata","P10E1","Control","Q26",2008,0
"Poa secunda","P10E1","Control","Q26",2008,0.71201243
"Pseudoroegneria spicata","P10E1","Control","Q26",2008,2.59118235
"Artemisia tripartita","E1","Control","Q3",2008,48.03632143
"Hesperostipa comata","E1","Control","Q3",2008,0
"Poa secunda","E1","Control","Q3",2008,1.01996639
"Pseudoroegneria spicata","E1","Control","Q3",2008,2.73585947
"Artemisia tripartita","E1","Control","Q4",2008,31.54256671
"Hesperostipa comata","E1","Control","Q4",2008,0.43539848
"Poa secunda","E1","Control","Q4",2008,1.5372742400329
"Pseudoroegneria spicata","E1","Control","Q4",2008,3.96470022
"Artemisia tripartita","E1","Control","Q5",2008,0
"Hesperostipa comata","E1","Control","Q5",2008,0
"Poa secunda","E1","Control","Q5",2008,0.02040785
"Pseudoroegneria spicata","E1","Control","Q5",2008,1.80343198
"Artemisia tripartita","E1","Control","Q6",2008,0
"Hesperostipa comata","E1","Control","Q6",2008,0
"Poa secunda","E1","Control","Q6",2008,1.3616929906208
"Pseudoroegneria spicata","E1","Control","Q6",2008,0.82753856
"Artemisia tripartita","E1","Control","Q1",2009,0
"Hesperostipa comata","E1","Control","Q1",2009,3.240936435
"Poa secunda","E1","Control","Q1",2009,0.37660876
"Pseudoroegneria spicata","E1","Control","Q1",2009,2.80152111
"Artemisia tripartita","P7E1","Control","Q19",2009,13.68663502
"Hesperostipa comata","P7E1","Control","Q19",2009,5.60658391
"Poa secunda","P7E1","Control","Q19",2009,0.2836251
"Pseudoroegneria spicata","P7E1","Control","Q19",2009,2.16474299
"Artemisia tripartita","E1","Control","Q2",2009,39.92769774
"Hesperostipa comata","E1","Control","Q2",2009,0.005
"Poa secunda","E1","Control","Q2",2009,3.12686999
"Pseudoroegneria spicata","E1","Control","Q2",2009,1.138000745
"Artemisia tripartita","P7E1","Control","Q20",2009,12.48507454
"Hesperostipa comata","P7E1","Control","Q20",2009,2.2117320608289
"Poa secunda","P7E1","Control","Q20",2009,1.1072686543102
"Pseudoroegneria spicata","P7E1","Control","Q20",2009,1.25638526
"Artemisia tripartita","P7E1","Control","Q21",2009,0
"Hesperostipa comata","P7E1","Control","Q21",2009,0.7134729794458
"Poa secunda","P7E1","Control","Q21",2009,1.5995069227222
"Pseudoroegneria spicata","P7E1","Control","Q21",2009,0.238879915
"Artemisia tripartita","P7E1","Control","Q22",2009,0
"Hesperostipa comata","P7E1","Control","Q22",2009,3.0901796959038
"Poa secunda","P7E1","Control","Q22",2009,1.82997912
"Pseudoroegneria spicata","P7E1","Control","Q22",2009,3.1887265967643
"Artemisia tripartita","P10E1","Control","Q23",2009,0.74474597
"Hesperostipa comata","P10E1","Control","Q23",2009,1.81902592
"Poa secunda","P10E1","Control","Q23",2009,7.96507204
"Pseudoroegneria spicata","P10E1","Control","Q23",2009,1.97621389
"Artemisia tripartita","P10E1","Control","Q24",2009,13.13777438
"Hesperostipa comata","P10E1","Control","Q24",2009,0.59547268
"Poa secunda","P10E1","Control","Q24",2009,1.2924651055025
"Pseudoroegneria spicata","P10E1","Control","Q24",2009,2.24152204
"Artemisia tripartita","P10E1","Control","Q25",2009,26.33891259
"Hesperostipa comata","P10E1","Control","Q25",2009,0
"Poa secunda","P10E1","Control","Q25",2009,0
"Pseudoroegneria spicata","P10E1","Control","Q25",2009,0.16090701
"Artemisia tripartita","P10E1","Control","Q26",2009,24.99610235
"Hesperostipa comata","P10E1","Control","Q26",2009,0
"Poa secunda","P10E1","Control","Q26",2009,0.5480362738839
"Pseudoroegneria spicata","P10E1","Control","Q26",2009,2.63623615
"Artemisia tripartita","E1","Control","Q3",2009,55.31725217
"Hesperostipa comata","E1","Control","Q3",2009,0
"Poa secunda","E1","Control","Q3",2009,0.67621667
"Pseudoroegneria spicata","E1","Control","Q3",2009,3.39674809
"Artemisia tripartita","E1","Control","Q4",2009,34.94307921
"Hesperostipa comata","E1","Control","Q4",2009,0.19696162
"Poa secunda","E1","Control","Q4",2009,1.5013086659169
"Pseudoroegneria spicata","E1","Control","Q4",2009,1.5751151799344
"Artemisia tripartita","E1","Control","Q5",2009,0
"Hesperostipa comata","E1","Control","Q5",2009,0
"Poa secunda","E1","Control","Q5",2009,0.12837149
"Pseudoroegneria spicata","E1","Control","Q5",2009,1.79217186
"Artemisia tripartita","E1","Control","Q6",2009,0
"Hesperostipa comata","E1","Control","Q6",2009,0.0025
"Poa secunda","E1","Control","Q6",2009,1.2931438940964
"Pseudoroegneria spicata","E1","Control","Q6",2009,1.08354238
"Artemisia tripartita","E1","Control","Q1",2010,0
"Hesperostipa comata","E1","Control","Q1",2010,4.35741339
"Poa secunda","E1","Control","Q1",2010,0.835461486194
"Pseudoroegneria spicata","E1","Control","Q1",2010,2.8680288111948
"Artemisia tripartita","P7E1","Control","Q19",2010,10.59896251
"Hesperostipa comata","P7E1","Control","Q19",2010,4.48025442
"Poa secunda","P7E1","Control","Q19",2010,0.8862062738644
"Pseudoroegneria spicata","P7E1","Control","Q19",2010,1.769488585
"Artemisia tripartita","E1","Control","Q2",2010,38.94654859
"Hesperostipa comata","E1","Control","Q2",2010,0
"Poa secunda","E1","Control","Q2",2010,3.5686519441242
"Pseudoroegneria spicata","E1","Control","Q2",2010,0.6409743136492
"Artemisia tripartita","P7E1","Control","Q20",2010,18.29053215
"Hesperostipa comata","P7E1","Control","Q20",2010,1.5654596562195
"Poa secunda","P7E1","Control","Q20",2010,1.3392517734755
"Pseudoroegneria spicata","P7E1","Control","Q20",2010,1.08547321
"Artemisia tripartita","P7E1","Control","Q21",2010,0
"Hesperostipa comata","P7E1","Control","Q21",2010,0.182759403838
"Poa secunda","P7E1","Control","Q21",2010,0.8909269367712
"Pseudoroegneria spicata","P7E1","Control","Q21",2010,0.0797808016577
"Artemisia tripartita","P7E1","Control","Q22",2010,0
"Hesperostipa comata","P7E1","Control","Q22",2010,3.0586991352786
"Poa secunda","P7E1","Control","Q22",2010,2.1723228387712
"Pseudoroegneria spicata","P7E1","Control","Q22",2010,2.9994875916207
"Artemisia tripartita","P10E1","Control","Q23",2010,0.87096874
"Hesperostipa comata","P10E1","Control","Q23",2010,2.0501080038011
"Poa secunda","P10E1","Control","Q23",2010,4.9571712876078
"Pseudoroegneria spicata","P10E1","Control","Q23",2010,1.79273079
"Artemisia tripartita","P10E1","Control","Q24",2010,12.85482191
"Hesperostipa comata","P10E1","Control","Q24",2010,0.4053192211569
"Poa secunda","P10E1","Control","Q24",2010,1.2641739605105
"Pseudoroegneria spicata","P10E1","Control","Q24",2010,1.7937970700438
"Artemisia tripartita","P10E1","Control","Q25",2010,39.88536501
"Hesperostipa comata","P10E1","Control","Q25",2010,0
"Poa secunda","P10E1","Control","Q25",2010,0
"Pseudoroegneria spicata","P10E1","Control","Q25",2010,0.10836999
"Artemisia tripartita","P10E1","Control","Q26",2010,45.60861156
"Hesperostipa comata","P10E1","Control","Q26",2010,0
"Poa secunda","P10E1","Control","Q26",2010,0.44280417
"Pseudoroegneria spicata","P10E1","Control","Q26",2010,3.03756972
"Artemisia tripartita","E1","Control","Q3",2010,41.85965244
"Hesperostipa comata","E1","Control","Q3",2010,0.01
"Poa secunda","E1","Control","Q3",2010,0.9224767394022
"Pseudoroegneria spicata","E1","Control","Q3",2010,2.28962398
"Artemisia tripartita","E1","Control","Q4",2010,32.29924792
"Hesperostipa comata","E1","Control","Q4",2010,0.25918996
"Poa secunda","E1","Control","Q4",2010,3.1131539475866
"Pseudoroegneria spicata","E1","Control","Q4",2010,1.6762757208749
"Artemisia tripartita","E1","Control","Q5",2010,0
"Hesperostipa comata","E1","Control","Q5",2010,0
"Poa secunda","E1","Control","Q5",2010,0.0993194864586
"Pseudoroegneria spicata","E1","Control","Q5",2010,2.47012436
"Artemisia tripartita","E1","Control","Q6",2010,0
"Hesperostipa comata","E1","Control","Q6",2010,0
"Poa secunda","E1","Control","Q6",2010,3.5691152783072
"Pseudoroegneria spicata","E1","Control","Q6",2010,1.658361405
"Artemisia tripartita","E1","Control","Q1",2011,0
"Hesperostipa comata","E1","Control","Q1",2011,2.70852834
"Poa secunda","E1","Control","Q1",2011,1.1835366
"Pseudoroegneria spicata","E1","Control","Q1",2011,1.3638391629205
"Artemisia tripartita","P7E1","Control","Q19",2011,11.13287483
"Hesperostipa comata","P7E1","Control","Q19",2011,4.5250643862702
"Poa secunda","P7E1","Control","Q19",2011,0.9852937116817
"Pseudoroegneria spicata","P7E1","Control","Q19",2011,2.2837246653883
"Artemisia tripartita","E1","Control","Q2",2011,44.8599206
"Hesperostipa comata","E1","Control","Q2",2011,0
"Poa secunda","E1","Control","Q2",2011,2.2812515250778
"Pseudoroegneria spicata","E1","Control","Q2",2011,0.4239363671526
"Artemisia tripartita","P7E1","Control","Q20",2011,20.49540938
"Hesperostipa comata","P7E1","Control","Q20",2011,1.4743481393792
"Poa secunda","P7E1","Control","Q20",2011,1.942163910205
"Pseudoroegneria spicata","P7E1","Control","Q20",2011,0.7365175990232
"Artemisia tripartita","P7E1","Control","Q21",2011,0
"Hesperostipa comata","P7E1","Control","Q21",2011,0.064088267407
"Poa secunda","P7E1","Control","Q21",2011,1.1061381458708
"Pseudoroegneria spicata","P7E1","Control","Q21",2011,0.0125
"Artemisia tripartita","P7E1","Control","Q22",2011,0
"Hesperostipa comata","P7E1","Control","Q22",2011,2.7471649749771
"Poa secunda","P7E1","Control","Q22",2011,3.0826198053387
"Pseudoroegneria spicata","P7E1","Control","Q22",2011,2.83070422
"Artemisia tripartita","P10E1","Control","Q23",2011,0.65176453
"Hesperostipa comata","P10E1","Control","Q23",2011,2.85063739
"Poa secunda","P10E1","Control","Q23",2011,6.6735482872555
"Pseudoroegneria spicata","P10E1","Control","Q23",2011,1.84266134
"Artemisia tripartita","P10E1","Control","Q24",2011,13.66070488
"Hesperostipa comata","P10E1","Control","Q24",2011,0.26179313
"Poa secunda","P10E1","Control","Q24",2011,1.1172630980176
"Pseudoroegneria spicata","P10E1","Control","Q24",2011,0.592969940037
"Artemisia tripartita","P10E1","Control","Q25",2011,8.28240482
"Hesperostipa comata","P10E1","Control","Q25",2011,0
"Poa secunda","P10E1","Control","Q25",2011,0
"Pseudoroegneria spicata","P10E1","Control","Q25",2011,0.3009573746438
"Artemisia tripartita","P10E1","Control","Q26",2011,39.32700619
"Hesperostipa comata","P10E1","Control","Q26",2011,0
"Poa secunda","P10E1","Control","Q26",2011,0.8843725360416
"Pseudoroegneria spicata","P10E1","Control","Q26",2011,2.1803910754116
"Artemisia tripartita","E1","Control","Q3",2011,44.60819074
"Hesperostipa comata","E1","Control","Q3",2011,0
"Poa secunda","E1","Control","Q3",2011,0.7955314599826
"Pseudoroegneria spicata","E1","Control","Q3",2011,1.79728317
"Artemisia tripartita","E1","Control","Q4",2011,28.86365853
"Hesperostipa comata","E1","Control","Q4",2011,0.1895698852177
"Poa secunda","E1","Control","Q4",2011,2.2623972141933
"Pseudoroegneria spicata","E1","Control","Q4",2011,0.739386972464
"Artemisia tripartita","E1","No_shrub","Q47",2011,31.59554507
"Hesperostipa comata","E1","No_shrub","Q47",2011,0
"Poa secunda","E1","No_shrub","Q47",2011,2.5394132721893
"Pseudoroegneria spicata","E1","No_shrub","Q47",2011,1.2855814635553
"Artemisia tripartita","E1","No_grass","Q48",2011,6.70070642
"Hesperostipa comata","E1","No_grass","Q48",2011,1.2972075
"Poa secunda","E1","No_grass","Q48",2011,1.2260109557731
"Pseudoroegneria spicata","E1","No_grass","Q48",2011,2.0490509782109
"Artemisia tripartita","E1","No_grass","Q49",2011,13.55259172
"Hesperostipa comata","E1","No_grass","Q49",2011,0.1442836953999
"Poa secunda","E1","No_grass","Q49",2011,0.8044650835407
"Pseudoroegneria spicata","E1","No_grass","Q49",2011,1.1301808
"Artemisia tripartita","E1","Control","Q5",2011,0
"Hesperostipa comata","E1","Control","Q5",2011,0
"Poa secunda","E1","Control","Q5",2011,0.10831128
"Pseudoroegneria spicata","E1","Control","Q5",2011,2.04666036
"Artemisia tripartita","E1","No_shrub","Q50",2011,39.41855266
"Hesperostipa comata","E1","No_shrub","Q50",2011,0
"Poa secunda","E1","No_shrub","Q50",2011,0.061817395
"Pseudoroegneria spicata","E1","No_shrub","Q50",2011,0.21548315
"Artemisia tripartita","E1","No_grass","Q51",2011,80.86901636
"Hesperostipa comata","E1","No_grass","Q51",2011,0.9972340500368
"Poa secunda","E1","No_grass","Q51",2011,0.8502557966098
"Pseudoroegneria spicata","E1","No_grass","Q51",2011,1.3288289744289
"Artemisia tripartita","E1","No_shrub","Q52",2011,32.48164941
"Hesperostipa comata","E1","No_shrub","Q52",2011,0.4311215306433
"Poa secunda","E1","No_shrub","Q52",2011,4.7239522048903
"Pseudoroegneria spicata","E1","No_shrub","Q52",2011,0.0025
"Artemisia tripartita","E1","No_shrub","Q53",2011,21.96236103
"Hesperostipa comata","E1","No_shrub","Q53",2011,0.01213413
"Poa secunda","E1","No_shrub","Q53",2011,0.2119098
"Pseudoroegneria spicata","E1","No_shrub","Q53",2011,1.6585250812913
"Artemisia tripartita","E1","No_shrub","Q54",2011,22.93473148
"Hesperostipa comata","E1","No_shrub","Q54",2011,0.62841717
"Poa secunda","E1","No_shrub","Q54",2011,2.7939618134861
"Pseudoroegneria spicata","E1","No_shrub","Q54",2011,1.0939135193885
"Artemisia tripartita","E1","No_grass","Q55",2011,16.84534573
"Hesperostipa comata","E1","No_grass","Q55",2011,0
"Poa secunda","E1","No_grass","Q55",2011,0.06285227
"Pseudoroegneria spicata","E1","No_grass","Q55",2011,1.5234708340255
"Artemisia tripartita","E1","No_shrub","Q56",2011,20.0010167
"Hesperostipa comata","E1","No_shrub","Q56",2011,0.0025
"Poa secunda","E1","No_shrub","Q56",2011,0
"Pseudoroegneria spicata","E1","No_shrub","Q56",2011,3.4003686
"Artemisia tripartita","E1","No_grass","Q57",2011,21.43305036
"Hesperostipa comata","E1","No_grass","Q57",2011,0
"Poa secunda","E1","No_grass","Q57",2011,0.0025
"Pseudoroegneria spicata","E1","No_grass","Q57",2011,2.71909729
"Artemisia tripartita","E1","No_grass","Q58",2011,28.54841426
"Hesperostipa comata","E1","No_grass","Q58",2011,0.5631216103991
"Poa secunda","E1","No_grass","Q58",2011,1.4565992927491
"Pseudoroegneria spicata","E1","No_grass","Q58",2011,0.21276674
"Artemisia tripartita","E1","No_shrub","Q59",2011,15.83092114
"Hesperostipa comata","E1","No_shrub","Q59",2011,0
"Poa secunda","E1","No_shrub","Q59",2011,0.01948584
"Pseudoroegneria spicata","E1","No_shrub","Q59",2011,0.70792272
"Artemisia tripartita","E1","Control","Q6",2011,0
"Hesperostipa comata","E1","Control","Q6",2011,0
"Poa secunda","E1","Control","Q6",2011,2.5976637916554
"Pseudoroegneria spicata","E1","Control","Q6",2011,0.8875142871282
"Artemisia tripartita","E1","No_grass","Q60",2011,22.23082038
"Hesperostipa comata","E1","No_grass","Q60",2011,0.6410916477276
"Poa secunda","E1","No_grass","Q60",2011,0.574703308389
"Pseudoroegneria spicata","E1","No_grass","Q60",2011,1.1614574964584
"Artemisia tripartita","E1","No_shrub","Q61",2011,65.33391718
"Hesperostipa comata","E1","No_shrub","Q61",2011,0
"Poa secunda","E1","No_shrub","Q61",2011,0.1243969023087
"Pseudoroegneria spicata","E1","No_shrub","Q61",2011,1.0427979795381
"Artemisia tripartita","E1","No_grass","Q62",2011,14.23347402
"Hesperostipa comata","E1","No_grass","Q62",2011,2.68242189
"Poa secunda","E1","No_grass","Q62",2011,0.3728017070499
"Pseudoroegneria spicata","E1","No_grass","Q62",2011,1.4975781436752
"Artemisia tripartita","E1","Control","Q1",2012,0
"Hesperostipa comata","E1","Control","Q1",2012,2.36759613
"Poa secunda","E1","Control","Q1",2012,1.276753889881
"Pseudoroegneria spicata","E1","Control","Q1",2012,1.447328756074
"Artemisia tripartita","P7E1","Control","Q19",2012,8.87380751
"Hesperostipa comata","P7E1","Control","Q19",2012,3.8052625066418
"Poa secunda","P7E1","Control","Q19",2012,2.0697121404711
"Pseudoroegneria spicata","P7E1","Control","Q19",2012,1.2658224379533
"Artemisia tripartita","E1","Control","Q2",2012,45.36060291
"Hesperostipa comata","E1","Control","Q2",2012,0
"Poa secunda","E1","Control","Q2",2012,4.28868239
"Pseudoroegneria spicata","E1","Control","Q2",2012,0.602063955
"Artemisia tripartita","P7E1","Control","Q20",2012,22.6925926
"Hesperostipa comata","P7E1","Control","Q20",2012,1.2302096537692
"Poa secunda","P7E1","Control","Q20",2012,2.8919726591611
"Pseudoroegneria spicata","P7E1","Control","Q20",2012,0.7559418518152
"Artemisia tripartita","P7E1","Control","Q21",2012,0
"Hesperostipa comata","P7E1","Control","Q21",2012,0.2526244450281
"Poa secunda","P7E1","Control","Q21",2012,2.0066146836136
"Pseudoroegneria spicata","P7E1","Control","Q21",2012,0.0417145287618
"Artemisia tripartita","P7E1","Control","Q22",2012,0
"Hesperostipa comata","P7E1","Control","Q22",2012,2.8136491146392
"Poa secunda","P7E1","Control","Q22",2012,3.702393027085
"Pseudoroegneria spicata","P7E1","Control","Q22",2012,1.9404847022156
"Artemisia tripartita","P10E1","Control","Q23",2012,1.07918152
"Hesperostipa comata","P10E1","Control","Q23",2012,2.55664625
"Poa secunda","P10E1","Control","Q23",2012,11.004271673085
"Pseudoroegneria spicata","P10E1","Control","Q23",2012,2.34895257
"Artemisia tripartita","P10E1","Control","Q24",2012,12.49313228
"Hesperostipa comata","P10E1","Control","Q24",2012,0.3369379087085
"Poa secunda","P10E1","Control","Q24",2012,1.5377844680808
"Pseudoroegneria spicata","P10E1","Control","Q24",2012,0.3903723513891
"Artemisia tripartita","P10E1","Control","Q25",2012,18.1515995
"Hesperostipa comata","P10E1","Control","Q25",2012,0
"Poa secunda","P10E1","Control","Q25",2012,0
"Pseudoroegneria spicata","P10E1","Control","Q25",2012,0.21013132
"Artemisia tripartita","P10E1","Control","Q26",2012,37.14492817
"Hesperostipa comata","P10E1","Control","Q26",2012,0
"Poa secunda","P10E1","Control","Q26",2012,1.4735786045046
"Pseudoroegneria spicata","P10E1","Control","Q26",2012,1.8535470869064
"Artemisia tripartita","E1","Control","Q3",2012,47.86552434
"Hesperostipa comata","E1","Control","Q3",2012,0
"Poa secunda","E1","Control","Q3",2012,1.063177009883
"Pseudoroegneria spicata","E1","Control","Q3",2012,1.02265194
"Artemisia tripartita","E1","Control","Q4",2012,25.70708862
"Hesperostipa comata","E1","Control","Q4",2012,0.28591911
"Poa secunda","E1","Control","Q4",2012,3.9771157084577
"Pseudoroegneria spicata","E1","Control","Q4",2012,0.7489922652359
"Artemisia tripartita","E1","No_shrub","Q47",2012,0
"Hesperostipa comata","E1","No_shrub","Q47",2012,0
"Poa secunda","E1","No_shrub","Q47",2012,3.79281359
"Pseudoroegneria spicata","E1","No_shrub","Q47",2012,2.415995005
"Artemisia tripartita","E1","No_grass","Q48",2012,8.7475389
"Hesperostipa comata","E1","No_grass","Q48",2012,0.6701680962768
"Poa secunda","E1","No_grass","Q48",2012,0.1819246
"Pseudoroegneria spicata","E1","No_grass","Q48",2012,0.3649425983566
"Artemisia tripartita","E1","No_grass","Q49",2012,3.97932908
"Hesperostipa comata","E1","No_grass","Q49",2012,0.05875877
"Poa secunda","E1","No_grass","Q49",2012,0.07408706
"Pseudoroegneria spicata","E1","No_grass","Q49",2012,0.747023378891
"Artemisia tripartita","E1","Control","Q5",2012,0
"Hesperostipa comata","E1","Control","Q5",2012,0
"Poa secunda","E1","Control","Q5",2012,0.21526055
"Pseudoroegneria spicata","E1","Control","Q5",2012,2.5582973
"Artemisia tripartita","E1","No_shrub","Q50",2012,0
"Hesperostipa comata","E1","No_shrub","Q50",2012,0.0025
"Poa secunda","E1","No_shrub","Q50",2012,0.09043522
"Pseudoroegneria spicata","E1","No_shrub","Q50",2012,0.53645755
"Artemisia tripartita","E1","No_grass","Q51",2012,72.41769107
"Hesperostipa comata","E1","No_grass","Q51",2012,0.1251168647212
"Poa secunda","E1","No_grass","Q51",2012,0.4248165
"Pseudoroegneria spicata","E1","No_grass","Q51",2012,0.0667764253058
"Artemisia tripartita","E1","No_shrub","Q52",2012,0
"Hesperostipa comata","E1","No_shrub","Q52",2012,0.370578097179
"Poa secunda","E1","No_shrub","Q52",2012,5.5062215991442
"Pseudoroegneria spicata","E1","No_shrub","Q52",2012,0.0125
"Artemisia tripartita","E1","No_shrub","Q53",2012,0
"Hesperostipa comata","E1","No_shrub","Q53",2012,0.05332072
"Poa secunda","E1","No_shrub","Q53",2012,0.34965587
"Pseudoroegneria spicata","E1","No_shrub","Q53",2012,1.98753187
"Artemisia tripartita","E1","No_shrub","Q54",2012,0
"Hesperostipa comata","E1","No_shrub","Q54",2012,0.52637541
"Poa secunda","E1","No_shrub","Q54",2012,4.5713910815689
"Pseudoroegneria spicata","E1","No_shrub","Q54",2012,1.98670246
"Artemisia tripartita","E1","No_grass","Q55",2012,15.26287772
"Hesperostipa comata","E1","No_grass","Q55",2012,0
"Poa secunda","E1","No_grass","Q55",2012,0
"Pseudoroegneria spicata","E1","No_grass","Q55",2012,0.56809366
"Artemisia tripartita","E1","No_shrub","Q56",2012,0
"Hesperostipa comata","E1","No_shrub","Q56",2012,0
"Poa secunda","E1","No_shrub","Q56",2012,0.0025
"Pseudoroegneria spicata","E1","No_shrub","Q56",2012,3.0195112363704
"Artemisia tripartita","E1","No_grass","Q57",2012,15.86624286
"Hesperostipa comata","E1","No_grass","Q57",2012,0
"Poa secunda","E1","No_grass","Q57",2012,0
"Pseudoroegneria spicata","E1","No_grass","Q57",2012,2.53016875
"Artemisia tripartita","E1","No_grass","Q58",2012,24.88447736
"Hesperostipa comata","E1","No_grass","Q58",2012,0.09725426
"Poa secunda","E1","No_grass","Q58",2012,0.10507862
"Pseudoroegneria spicata","E1","No_grass","Q58",2012,0.4657498490309
"Artemisia tripartita","E1","No_shrub","Q59",2012,0
"Hesperostipa comata","E1","No_shrub","Q59",2012,0
"Poa secunda","E1","No_shrub","Q59",2012,0.005
